mode,num_step,concurrency,requests_ok,requests_err,wall_s,rps,audio_total_s,throughput_audio_per_wall,ttfb_ms_p50,ttfb_ms_p95,ttfb_ms_p99,sm_pct_mean,sm_pct_p95,vram_mb_max,err_rate
naive,8,1,8,0,1.368,5.847,20.71,15.136,177.6,193.4,193.4,24.0,45.6,3452,0.0
naive,8,2,12,0,1.85,6.485,31.8,17.186,295.8,332.7,333.5,30.0,45.0,3452,0.0
naive,8,3,18,0,2.713,6.635,50.4,18.578,443.2,480.3,491.4,35.5,50.2,3452,0.0
naive,8,4,24,0,3.987,6.02,67.38,16.901,644.5,757.5,770.8,32.8,49.0,3452,0.0
naive,8,5,30,0,4.485,6.689,84.21,18.776,740.7,758.1,758.3,39.3,49.2,3452,0.0
naive,8,6,36,0,5.544,6.494,101.03,18.224,904.0,996.8,1005.0,37.3,47.4,3452,0.0
naive,8,7,42,0,6.332,6.633,119.14,18.816,1045.0,1085.7,1091.7,40.5,48.6,3452,0.0
naive,8,8,48,0,7.274,6.599,137.97,18.968,1203.2,1217.9,1249.5,41.1,48.6,3452,0.0
naive,8,9,54,0,8.157,6.62,156.44,19.178,1353.6,1384.0,1387.3,41.9,50.2,3452,0.0
naive,8,10,60,0,8.974,6.686,173.65,19.35,1493.4,1509.9,1514.5,41.5,49.1,3452,0.0
naive,8,11,66,0,10.85,6.083,190.95,17.599,1826.9,1844.5,1872.7,37.7,45.0,3452,0.0
naive,8,12,72,0,11.928,6.036,207.57,17.402,1984.2,2001.0,2003.5,40.5,46.4,3452,0.0
naive,8,13,78,0,12.853,6.069,228.7,17.793,2135.3,2160.8,2162.2,39.4,45.4,3452,0.0
naive,8,14,84,0,13.923,6.033,246.62,17.713,2315.6,2334.5,2335.6,39.9,45.3,3452,0.0
naive,8,15,90,0,14.883,6.047,262.69,17.65,2473.5,2505.0,2508.3,39.7,44.5,3452,0.0
naive,8,16,96,0,15.899,6.038,279.03,17.55,2644.2,2664.2,2665.3,40.5,46.2,3452,0.0
naive,8,17,102,0,15.896,6.417,295.76,18.606,2527.0,2825.1,2826.0,41.2,50.6,3452,0.0
naive,8,18,108,0,16.267,6.639,314.68,19.344,2696.0,2746.5,2754.6,43.4,49.4,3452,0.0
naive,8,19,114,0,17.181,6.635,332.46,19.351,2852.8,2885.1,2890.5,45.7,51.0,3452,0.0
naive,8,20,120,0,17.804,6.74,349.12,19.609,2965.4,2989.2,2991.8,45.4,50.2,3452,0.0
batched8,8,1,8,0,1.526,5.242,20.83,13.65,195.4,214.8,214.8,28.0,46.8,3452,0.0
batched8,8,2,12,0,1.178,10.186,31.72,26.926,195.0,208.8,209.5,22.7,45.2,3452,0.0
batched8,8,3,18,0,1.216,14.8,50.26,41.324,194.2,229.4,230.4,25.7,43.7,3560,0.0
batched8,8,4,24,0,1.302,18.436,68.05,52.274,207.8,289.7,290.4,39.0,71.7,3702,0.0
batched8,8,5,30,0,1.296,23.144,84.88,65.482,211.9,228.7,228.7,32.3,49.7,3882,0.0
batched8,8,6,36,0,1.347,26.735,100.7,74.783,220.6,240.5,242.1,37.7,63.3,4094,0.0
batched8,8,7,42,0,1.409,29.815,119.26,84.659,228.5,256.1,257.8,30.3,46.7,4338,0.0
batched8,8,8,48,0,1.414,33.951,137.82,97.483,225.4,274.3,275.3,41.3,74.8,4778,0.0
batched8,8,9,54,0,1.593,33.894,154.46,96.95,222.1,435.8,455.2,48.0,94.4,4778,0.0
batched8,8,10,60,0,1.82,32.973,173.41,95.298,228.1,457.2,485.0,50.0,95.0,4778,0.0
batched8,8,11,66,0,2.049,32.213,190.16,92.811,241.2,480.0,506.6,28.3,47.7,4946,0.0
batched8,8,12,72,0,2.09,34.447,207.88,99.457,249.1,477.6,490.1,32.3,51.3,4946,0.0
batched8,8,13,78,0,2.32,33.619,225.68,97.271,442.3,477.4,479.4,41.5,67.0,4946,0.0
batched8,8,14,84,0,2.486,33.789,245.23,98.642,434.5,474.5,476.9,60.2,99.0,4946,0.0
batched8,8,15,90,0,2.671,33.696,262.24,98.184,440.1,471.3,473.1,57.2,95.4,4946,0.0
batched8,8,16,96,0,2.711,35.416,279.68,103.18,449.1,469.8,470.2,57.5,93.1,4946,0.0
batched8,8,17,102,0,2.951,34.568,296.23,100.392,462.9,689.5,701.4,60.0,98.8,4946,0.0
batched8,8,18,108,0,3.164,34.132,314.35,99.347,465.8,697.3,702.7,57.0,97.3,4946,0.0
batched8,8,19,114,0,3.378,33.749,331.37,98.099,458.5,693.6,705.4,56.8,96.6,4946,0.0
batched8,8,20,120,0,3.399,35.309,351.42,103.402,472.2,692.6,705.4,57.0,96.6,4946,0.0
batched16,8,1,8,0,1.516,5.277,20.74,13.68,196.3,212.9,212.9,26.0,48.6,3452,0.0
batched16,8,2,12,0,1.171,10.248,31.87,27.216,195.9,208.8,208.8,23.5,44.6,3452,0.0
batched16,8,3,18,0,1.217,14.794,50.18,41.244,195.4,232.5,233.4,33.7,52.5,3560,0.0
batched16,8,4,24,0,1.332,18.021,66.61,50.015,209.0,294.3,294.5,40.3,70.5,3702,0.0
batched16,8,5,30,0,1.285,23.34,84.47,65.719,211.6,221.4,221.7,39.7,71.9,3882,0.0
batched16,8,6,36,0,1.359,26.495,100.79,74.18,224.7,242.4,243.9,24.3,37.7,4094,0.0
batched16,8,7,42,0,1.436,29.245,118.91,82.798,231.2,258.6,259.9,37.0,72.7,4338,0.0
batched16,8,8,48,0,1.497,32.057,136.55,91.195,239.8,288.7,289.6,40.0,80.0,4618,0.0
batched16,8,9,54,0,1.625,33.235,153.09,94.22,259.5,314.4,315.4,46.0,93.8,4778,0.0
batched16,8,10,60,0,1.76,34.095,173.06,98.341,285.7,311.7,314.5,44.7,93.4,5070,0.0
batched16,8,11,66,0,1.902,34.695,189.96,99.859,303.4,354.9,355.6,22.3,33.9,5174,0.0
batched16,8,12,72,0,2.145,33.566,209.1,97.481,328.2,597.9,622.8,25.3,41.2,5402,0.0
batched16,8,13,78,0,2.267,34.404,227.36,100.283,363.0,395.8,398.7,45.8,91.1,5918,0.0
batched16,8,14,84,0,2.677,31.374,247.75,92.536,384.8,688.5,695.0,56.0,99.1,6206,0.0
batched16,8,15,90,0,2.79,32.264,259.63,93.074,406.2,697.8,704.9,39.2,80.8,6514,0.0
batched16,8,16,96,0,2.844,33.754,279.3,98.202,424.6,709.9,717.0,42.8,91.3,6846,0.0
batched16,8,17,102,0,3.53,28.896,297.94,84.405,614.5,679.4,680.2,58.0,100.0,6846,0.0
batched16,8,18,108,0,3.354,32.203,312.35,93.134,636.8,689.2,702.3,60.2,100.0,6846,0.0
batched16,8,19,114,0,3.65,31.232,332.11,90.987,647.6,700.6,704.8,58.6,100.0,6846,0.0
batched16,8,20,120,0,3.717,32.285,349.48,94.024,660.2,716.4,719.9,52.8,97.0,6846,0.0
